Aux1,Aux2,Aux3,Aux4,Aux5,Aux6
636,528,416,516,520,1028
516,512,416,516,520,1028
516,512,428,516,520,1028
512,516,452,516,520,1032
516,516,452,516,520,1028
516,524,456,512,520,1032
516,584,448,520,516,1032
516,580,452,520,516,1032
516,572,452,520,516,1032
516,516,448,520,516,1032
640,516,448,520,516,1032
620,516,452,516,516,1032
512,504,448,516,520,1028
508,492,436,516,520,1028
516,488,432,520,520,1028
516,512,428,516,520,1028
508,512,428,516,520,1028
436,504,432,516,516,1032
512,504,428,516,520,1032
516,512,428,516,520,1028
516,512,428,516,520,1032
516,516,428,516,520,1028
516,512,428,516,520,1032
512,508,428,520,516,1032
512,504,428,516,520,1032
512,508,428,516,520,1028
512,504,428,520,516,1032
516,504,428,512,520,1028
512,512,428,440,520,1028
516,512,428,516,520,1028
516,516,428,516,520,1028
516,576,428,516,520,1028
516,588,432,516,516,1032
516,588,428,516,520,1028
516,584,428,516,520,1028
516,580,428,516,520,1028
516,572,428,516,520,1028
516,524,428,516,520,1028
512,516,428,512,520,1032
512,512,428,516,520,1032
516,512,428,516,520,1028
516,508,428,516,520,1028
512,488,428,516,520,1028
516,448,428,512,520,1032
512,448,428,516,516,1032
512,460,428,516,520,1028
516,512,428,516,520,1028
516,512,428,516,520,1028
516,512,428,516,520,1028
516,512,428,516,520,1028
516,512,428,516,520,1028
524,512,428,516,520,1032
548,524,428,516,516,1032
516,512,428,516,520,1028
512,516,428,512,520,1032
516,516,428,384,520,1032
520,512,432,516,520,1028
516,512,432,516,520,1028
516,512,432,516,520,1028
516,516,428,516,520,1028
516,512,432,516,520,1028
516,516,432,516,520,1028
516,516,428,516,520,1032
516,516,432,516,520,1028
516,512,432,516,520,1032
516,512,432,516,520,1028
516,516,432,516,520,1028
516,512,432,516,520,1028
516,516,432,516,516,1032
516,516,432,516,520,1028
520,512,432,516,520,1028
516,516,432,516,516,1032
516,516,428,516,520,1028
516,516,432,516,516,1032
516,512,432,516,516,1032
516,516,428,520,516,1032
516,516,428,520,516,1032
512,516,432,516,520,1028
516,516,428,520,516,1032
516,512,432,516,520,1028
512,516,432,516,520,1028
516,512,432,520,516,1032
520,512,432,516,520,1028
500,516,428,516,520,1032
468,516,428,516,520,1028
460,512,428,520,516,1032
464,516,428,520,520,1028
508,512,432,516,520,1032
512,512,436,516,520,1028
516,512,460,516,520,1028
512,512,460,520,516,1032
512,512,460,520,516,1032
516,504,460,520,516,1032
516,460,460,516,520,1032
528,448,460,520,520,1028
540,460,460,516,520,1028
548,468,460,516,520,1028
544,472,460,516,520,1032
544,472,460,520,516,1032
596,468,460,516,520,1032
664,480,456,520,520,1032
520,504,428,528,520,1028
516,512,420,644,520,1028
520,508,424,672,520,1028
488,496,424,564,520,1028
464,476,424,528,516,1032
480,452,424,524,516,1032
500,448,424,524,516,1032
508,452,428,520,520,1028
508,456,428,520,520,1028
508,460,424,524,520,1028
512,484,424,520,520,1032
516,512,428,520,520,1028
516,512,432,520,520,1028
516,564,432,520,520,1032
516,580,432,524,516,1032
516,584,436,520,520,1032
512,568,432,524,516,1032
512,516,432,524,516,1032
512,516,432,520,520,1032
516,512,440,504,520,1028
512,516,444,388,520,1028
512,516,444,372,520,1028
516,512,448,512,516,1032
516,516,444,516,520,1028
520,580,448,512,520,1032
512,600,428,516,520,1028
516,560,392,516,516,1032
516,512,376,516,520,1028
516,512,376,516,520,1028
516,512,376,516,520,1032
512,516,404,512,520,1028
512,512,428,372,520,1028
508,516,428,512,516,1032
516,648,452,512,520,1028
512,640,448,516,520,1028
512,600,452,516,520,1028
516,516,448,516,520,1028
512,512,448,520,516,1032
440,516,448,516,520,1032
512,512,452,516,516,1032
512,516,444,520,516,1032
512,516,444,516,520,1028
512,512,448,516,520,1028
516,516,444,520,516,1032
516,516,444,516,520,1028
516,512,448,516,520,1028
516,516,440,516,520,1032
516,572,416,516,520,1028
516,596,416,516,520,1032
516,596,416,516,520,1028
516,588,416,516,520,1032
516,564,416,516,520,1028
512,516,412,520,516,1032
516,512,416,516,520,1028
516,516,416,512,520,1032
512,516,416,516,520,1028
520,512,416,520,516,1032
524,524,416,516,520,1032
580,528,416,520,516,1032
516,524,416,516,520,1028
516,516,416,516,520,1028
520,512,416,516,520,1032
516,516,452,520,516,1032
516,516,456,516,520,1028
520,520,456,516,520,1028
540,516,456,516,520,1028
516,516,456,516,520,1028
516,516,452,516,520,1028
516,524,456,516,520,1028
516,568,456,516,520,1028
516,576,452,520,516,1032
516,576,452,516,520,1028
516,572,452,516,520,1032
516,552,456,516,516,1032
516,512,452,516,520,1032
512,468,452,516,520,1032
512,424,440,516,520,1028
516,428,416,516,520,1032
512,428,408,516,520,1032
516,456,404,520,516,1032
512,512,404,520,516,1032
512,512,408,520,516,1032
508,512,440,512,520,1028
420,512,440,508,516,1032
440,512,444,512,516,1032
512,516,440,512,520,1032
516,512,440,516,520,1028
516,512,440,516,520,1028
516,512,444,516,516,1032
560,516,440,516,520,1028
612,524,436,520,520,1028
516,512,428,524,520,1028
516,516,424,544,520,1032
540,516,412,544,520,1028
564,516,408,548,516,1032
516,512,408,536,520,1028
516,512,412,524,520,1028
516,508,440,520,520,1032
516,480,448,520,520,1028
512,452,452,520,520,1028
512,464,444,520,520,1028
516,508,448,520,520,1032
512,512,452,520,520,1028
516,512,448,520,520,1028
512,512,448,520,520,1028
512,512,448,520,520,1028
512,512,448,520,520,1028
516,512,448,520,516,1032
516,508,448,520,516,1032
512,504,448,520,520,1028
512,508,448,520,516,1032
516,508,444,520,520,1028
516,508,444,520,520,1028
512,508,448,520,520,1028
428,512,444,520,520,1028
440,508,448,516,520,1028
516,512,412,380,516,1032
516,512,412,444,516,1032
512,512,420,512,516,1032
628,524,424,516,520,1028
604,524,416,520,520,1028
520,512,420,516,520,1032
520,512,420,516,520,1028
516,512,420,520,520,1028
516,512,440,516,520,1028
516,512,440,516,520,1028
516,516,436,520,516,1032
516,512,440,516,520,1028
516,516,440,516,520,1028
516,512,440,516,520,1032
516,512,440,516,520,1028
516,516,436,520,516,1032
516,512,440,516,520,1028
516,516,436,516,520,1032
516,576,436,516,520,1028
516,580,440,516,520,1028
520,512,436,516,520,1028
504,512,436,520,516,1032
452,512,436,516,520,1028
512,512,436,516,520,1028
512,512,436,516,520,1028
512,516,432,516,520,1032
512,512,436,516,520,1028
516,512,432,520,516,1032
512,512,432,520,516,1032
512,512,432,520,516,1032
516,512,432,516,520,1028
524,516,428,516,520,1028
584,516,424,516,516,1032
516,516,424,516,520,1028
516,516,420,516,520,1032
516,512,424,516,520,1032
520,512,420,516,520,1032
516,512,428,516,520,1028
516,512,432,516,520,1028
516,512,432,516,520,1028
516,512,440,512,520,1032
516,512,444,516,520,1028
516,516,440,516,520,1028
516,516,440,516,520,1028
516,516,440,516,520,1028
516,512,444,516,520,1028
516,512,440,500,520,1032
448,512,432,440,520,1032
512,512,436,516,520,1028
512,512,440,512,520,1028
516,512,440,512,520,1028
516,516,436,512,520,1032
516,512,436,516,520,1028
516,512,436,516,520,1028
604,516,432,516,520,1028
596,516,436,516,520,1028
516,512,436,516,520,1028
516,516,436,500,520,1032
516,512,420,400,520,1028
516,516,420,504,520,1028
516,516,428,512,520,1028
516,516,428,512,520,1028
520,512,428,516,520,1028
516,516,428,516,520,1028
516,512,432,516,516,1032
516,512,428,516,520,1032
516,516,428,516,520,1028
516,512,428,516,520,1032
516,516,428,516,520,1028
516,512,432,512,520,1032
516,564,428,516,520,1032
516,552,428,516,520,1028
516,512,416,516,520,1032
516,512,384,516,520,1028
516,512,376,516,520,1028
512,516,376,516,520,1028
512,516,376,516,520,1028
512,516,392,516,520,1028
516,512,400,520,516,1032
512,516,408,516,520,1028
512,516,420,516,520,1028
516,512,436,516,520,1032
516,512,444,516,520,1028
512,516,444,516,520,1028
516,512,444,516,520,1028
516,564,444,516,520,1028
516,608,444,516,520,1032
516,608,444,516,520,1032
516,604,444,516,520,1028
516,600,444,516,520,1028
516,520,444,516,520,1028
516,512,444,516,520,1028
512,516,444,516,520,1028
512,516,440,520,520,1028
520,512,444,516,520,1028
516,512,444,516,520,1028
516,512,444,516,520,1032
512,516,444,516,520,1028
516,516,444,516,520,1028
516,516,444,516,520,1028
516,516,444,516,520,1028
516,516,444,516,516,1032
516,516,444,516,520,1028
516,516,440,516,520,1028
516,516,440,516,520,1032
516,512,444,516,520,1028
516,516,440,516,520,1028
516,516,436,520,520,1028
516,516,420,704,520,1028
516,512,400,608,520,1032
516,516,392,520,520,1032
516,512,396,524,516,1032
516,516,404,516,520,1032
516,516,408,520,520,1032
516,512,412,520,520,1028
516,516,412,520,516,1032
516,516,432,520,520,1028
520,512,440,520,520,1028
516,516,444,516,520,1028
516,512,448,516,520,1028
516,516,444,520,520,1028
516,516,448,520,516,1032
516,512,460,516,520,1032
512,516,460,516,520,1028
516,516,456,520,520,1028
516,516,460,516,520,1028
516,516,460,516,520,1032
516,516,460,516,520,1028
520,516,460,516,520,1032
540,516,460,516,520,1028
520,516,460,516,520,1032
512,512,460,516,524,1028
516,508,456,516,520,1028
520,492,440,520,516,1032
516,460,424,516,520,1028
516,460,420,520,516,1032
512,516,420,516,520,1032
516,516,424,516,520,1028
588,512,424,516,520,1028
536,516,420,520,520,1028
516,508,424,516,520,1028
516,436,424,516,520,1028
512,384,424,516,520,1032
516,412,424,516,520,1032
516,508,420,520,516,1032
516,512,424,516,520,1028
516,512,420,520,520,1028
512,512,424,516,520,1028
512,512,428,516,520,1028
512,512,440,516,520,1032
512,512,448,516,520,1028
512,512,448,516,520,1032
512,512,448,516,520,1028
512,512,448,516,520,1028
512,512,448,516,520,1028
516,512,444,516,520,1032
512,512,448,516,520,1032
512,516,444,516,520,1028
512,512,448,516,520,1028
512,512,448,516,520,1028
512,512,444,520,516,1032
512,512,444,516,520,1032
512,512,444,516,520,1032
516,512,444,516,520,1032
516,512,444,516,520,1032
516,512,444,516,520,1028
516,512,440,516,520,1032
516,512,432,516,520,1032
512,512,428,516,520,1032
516,512,428,516,520,1028
512,512,432,516,520,1028
516,512,428,516,520,1032
512,512,432,516,516,1032
512,512,428,520,516,1032
516,512,440,520,516,1032
516,512,440,516,520,1028
512,512,444,516,520,1028
516,512,440,516,520,1032
512,512,444,516,520,1028
512,512,444,516,520,1028
516,512,440,516,520,1028
512,512,432,516,520,1028
516,624,420,516,520,1028
516,624,420,520,516,1032
512,540,420,516,520,1032
516,512,424,516,520,1032
516,512,424,516,520,1032
516,512,424,516,520,1032
516,512,424,516,520,1028
516,516,424,516,520,1028
588,512,420,520,516,1032
568,512,424,516,520,1032
512,512,424,516,520,1028
512,504,428,516,520,1032
512,504,432,516,520,1028
512,504,432,516,520,1032
512,504,452,516,520,1028
512,504,452,516,520,1028
512,504,452,516,520,1028
512,504,452,516,520,1028
512,512,452,516,520,1028
516,512,452,516,520,1028
516,512,452,516,520,1028
516,512,448,520,520,1028
520,516,448,520,516,1032
592,516,448,520,520,1028
520,516,448,516,520,1032
516,512,452,492,520,1032
520,512,448,440,520,1028
516,512,452,512,520,1028
516,516,448,512,520,1032
516,512,452,512,520,1028
516,516,448,516,520,1028
516,512,452,516,520,1028
508,512,448,516,520,1032
504,508,448,520,516,1032
512,512,448,512,520,1028
516,508,452,512,520,1028
512,508,448,516,516,1032
460,500,448,516,516,1032
432,500,452,512,520,1032
516,504,452,512,520,1032
516,512,448,464,520,1032
512,512,416,408,516,1032
512,516,424,512,516,1032
656,516,420,516,520,1028
556,516,420,516,520,1032
516,512,424,516,520,1028
516,516,420,520,516,1032
516,512,424,516,520,1032
516,528,424,516,520,1028
516,588,424,516,520,1032
516,584,416,520,516,1032
512,516,424,516,520,1028
516,516,424,516,516,1032
516,600,424,516,520,1028
516,512,424,516,520,1032
516,516,424,516,520,1028
484,516,424,516,520,1032
500,512,424,516,520,1032
516,512,424,516,520,1032
512,516,424,516,520,1028
512,516,424,516,520,1028
516,512,432,512,520,1032
516,520,452,516,520,1028
516,516,456,516,520,1032
532,564,456,516,520,1028
512,516,452,516,520,1028
516,516,452,516,520,1028
528,592,452,516,520,1028
512,504,452,516,520,1028
516,512,452,516,520,1028
564,536,452,516,520,1028
516,516,444,520,516,1032
516,512,448,516,520,1032
512,500,448,516,520,1028
516,432,440,516,520,1032
512,440,436,516,520,1028
512,460,440,516,520,1028
516,508,436,516,520,1032
516,508,436,516,520,1032
516,512,432,520,520,1028
500,504,436,516,520,1028
444,508,436,516,520,1028
512,508,436,516,520,1028
512,512,436,516,520,1028
516,512,432,520,516,1032
516,512,436,516,516,1032
516,508,436,516,520,1032
516,512,436,516,520,1028
516,552,436,516,520,1028
516,576,436,516,520,1028
516,516,436,516,520,1028
504,516,436,516,520,1028
456,516,436,516,520,1028
512,512,436,516,520,1028
516,516,432,520,520,1028
528,608,436,516,520,1028
528,624,436,516,520,1028
516,588,432,520,520,1028
512,516,432,520,520,1028
512,516,432,520,520,1028
512,516,432,520,516,1032
512,512,436,516,520,1032
512,512,436,516,520,1032
516,512,436,520,516,1032
516,512,436,516,520,1028
536,516,436,516,520,1028
540,516,436,516,520,1028
540,516,436,516,520,1032
540,524,432,520,516,1032
544,524,436,516,520,1028
540,524,436,516,520,1032
520,528,432,520,516,1032
532,532,432,520,520,1028
540,640,436,516,516,1032
512,560,436,516,520,1028
516,512,436,516,520,1032
516,512,436,516,520,1032
516,512,436,516,520,1028
516,512,436,516,520,1028
516,512,436,516,520,1028
516,512,436,516,520,1028
516,512,436,516,520,1028
504,468,432,520,520,1028
508,428,436,516,520,1032
512,404,436,520,516,1032
512,432,436,516,520,1028
512,512,436,516,520,1032
516,512,436,516,520,1028
516,512,432,520,516,1032
516,512,436,516,520,1028
512,512,436,516,520,1032
512,512,436,516,520,1032
516,512,436,516,520,1028
516,512,436,516,520,1028
512,468,436,516,520,1028
508,460,436,516,520,1028
512,512,436,516,520,1032
516,512,432,520,516,1032
516,512,436,516,520,1028
516,524,436,516,520,1028
516,572,436,520,516,1032
512,576,432,520,516,1032
512,516,432,520,516,1032
512,512,436,520,516,1032
512,512,436,516,520,1032
516,516,432,520,516,1032
516,512,436,516,520,1032
516,516,432,520,520,1028
516,512,436,516,520,1028
516,512,436,516,520,1032
516,512,436,516,520,1028
516,512,436,516,520,1028
516,512,436,516,520,1028
512,480,432,520,516,1032
512,436,436,516,520,1028
512,440,432,516,520,1032
512,512,436,516,520,1028
516,516,436,516,520,1028
540,516,436,516,520,1028
568,516,436,516,520,1028
516,512,436,516,520,1028
516,512,436,516,520,1028
512,516,436,516,520,1028
516,512,436,516,520,1028
516,512,436,516,520,1028
516,512,436,516,520,1028
516,516,432,520,516,1032
516,512,436,516,520,1028
512,496,432,520,520,1028
512,504,436,516,520,1028
516,512,432,520,516,1032
516,508,436,516,520,1032
516,512,436,516,520,1028
516,528,436,516,520,1028
516,604,436,516,520,1032
512,516,432,520,516,1032
512,516,436,516,516,1032
512,516,432,520,520,1028
512,516,432,520,516,1032
512,512,436,520,516,1036
512,512,440,516,520,1028
512,516,436,516,520,1028
516,512,448,516,520,1032
516,512,452,516,520,1028
516,512,452,516,520,1028
516,512,452,516,516,1032
516,512,448,520,516,1032
516,512,448,520,516,1032
516,512,448,520,520,1028
516,512,448,516,520,1028
512,512,452,516,520,1028
512,512,452,516,520,1028
512,512,448,516,520,1032
512,512,448,516,520,1032
512,512,448,516,520,1032
516,512,448,516,520,1032
516,512,448,516,520,1028
508,504,448,516,520,1028
508,484,448,512,520,1028
512,476,440,516,520,1028
512,476,440,516,520,1032
512,504,440,516,520,1032
576,512,440,520,516,1032
556,512,444,512,520,1032
516,516,436,520,516,1032
516,512,440,516,520,1032
520,512,440,516,520,1028
516,512,440,516,520,1032
516,512,440,516,520,1028
516,516,436,516,520,1032
488,508,440,516,520,1032
460,512,440,516,520,1028
512,508,440,516,520,1032
516,508,440,516,520,1032
